,id,序号,故障发现（确认）时间,通知省级调度时间（运检中心）,故障开始时间,故障监测确认时间,故障结束时间,单位简称,影响对象,部署类型,异常类型,异常类型细项,问题现象,故障组件,形成原因,形成原因细类,原因分析,故障处理过程,整改措施,整改措施是否落实,整改措施佐证材料,故障时长（小时）,故障时长（分钟）,风险事例等级,监控发现方式,有无用户申告,调度联系单,紧急抢修,考核数据,有无停运,早会PPT,简报,周报,早会短信,月份,日期,时刻,是否工作日,是否工作时段,是否提交故障报告,故障报告第一次提交时间,故障报告合格时间,报告提交时长（小时）,报告合格时间（小时）,故障短信,连接,是否按时提交正式报告,中断时间分布,监控发现方式细类,是否办结,是否因业务量大,是否典型
0,382,,,,2016-06-06 15:10:00,,2016-06-06 15:20:00,国网信通,一级协同办公,一级部署,信息系统运行异常,不影响用户使用但系统有告警,"6月6日15:10，国网信通调度监控发现一级部署协同办公系统多个domino节点告警，同时接重庆、甘肃调度申告一级部署协同办公运行缓慢。
",无报告,无报告,未持续跟踪,"15:20，告警自动消除，经验证重庆、甘肃访问一级部署协同办公系统恢复正常。具体原因正在核查。
",,,,,0.16666666790843,10.0000000745058,,无告警,无,,,,无,有,无,无,无,6月,06,15,,,,,,,,,,,,,,,
1,383,,,,2016-06-06 15:10:00,,2016-06-06 15:20:00,国网信通,一级协同办公,一级部署,信息系统运行异常,系统部分功能非计划不可用,"6月6日15:10，国网信通调度监控发现一级部署协同办公系统多个domino节点告警，同时接重庆、甘肃调度申告一级部署协同办公运行缓慢。
",应用软件,运行维护不当,线程满,"经排查，故障原因仍为部分单位solr节点异常，导致search服务线程排队堵塞，最终导致domino服务请求search服务因响应时间过长导致服务异常。本次故障排查发现是由于甘肃（每小时写:50010条，读:13552条）solr文件写入更新操作数量较大，solr自动修复功能不能满足当前业务需要，数据分发时导致甘肃solr分片节点服务出现大量的不同步数据,服务节点状态出现异常。根据前段时间诊断分析，后续需对solr及search服务进行优化，降低solr运行压力。",,,,,0.16666666790843,10.0000000745058,,无告警,无,,,,无,有,无,无,无,6月,06,15,,,,,,,,,,,,,,,
2,384,,,,2016-06-07 12:40:00,,2016-06-07 13:25:00,国网人事部,干部管理,二级部署,,,6月7日12:40-13:25，总部干部管理系统监控状态异常，期间，系统URL探测异常，健康运行时长及在线用户数指标正常,无报告,,,,,,,,0.75,45.0,,IMS监控,无,,,,无,,有,有,无,6月,07,12,,,,,,,,,,,,,,,
3,385,,,,2016-06-08 05:40:00,,2016-06-08 12:30:00,国网信通,IMS,二级部署,信息系统运行异常,不影响用户使用但系统有告警,6月8日05:40，国网信通调度监控发现北京、蒙东、冀北、浙江、河南等部分网省的所有系统IMS健康运行时长及在线用户数指标异常，URL探测异常。,数据库软件,软件设计缺陷原因,数据表索引设计不合理,ims数据库中，存放省公司服务器内存信息的表主键索引存在逻辑坏块，导致数据插入失败，造成IMS级联数据入库程序异常。,创建新表及索引后，系统插入数据恢复正常。,将IMS大数据统计的任务时间合理配置，分解Oracle数据库的IO负担。,,,6.83333333273185,409.999999963911,,IMS监控,无,,,,无,有,有,无,有,6月,08,5,,,,,,,,,,,,,,,
4,387,,,,2016-06-12 04:35:00,,2016-06-12 08:55:00,国网信通,集中ERP,一级部署,信息系统运行异常,不影响用户使用但系统有告警,6月12日4:35，国网信通调度监控发现集中部署ERP的IMS健康运行时长及在线用户数指标缺失，系统URL探测指标正常。,应用软件,运行维护不当,进程自动退出,集中部署ERP取数接口取到数据后会发送给F5总线（10.1.80.6:61616），F5总线收到数据后会随机分发到两个后台（10.1.80.10/11）总线的队列上，其中10.1.80.10接收集中ERP数据程序TD的单个线程出现中断、会话被关闭，导致10.1.80.10总线的ERP队列数据堆积，影响接收总线数据入库。,"重启两个后台接收集中部署ERP总线数据的TD程序（将总线接收的数据进行入库），堆积的数据入库恢复正常,指标没有丢失。",加强接口程序巡检，杜绝出现类似情况。,,,4.33333333453629,260.000000072178,,IMS监控,无,,,,无,有,有,无,无,6月,12,4,,,,,,,,,,,,,,,
5,388,,,,2016-06-13 05:35:00,,2016-06-13 06:00:00,湖北,云终端,二级部署,信息系统运行异常,网络非计划停运,6月13日05:35-06:00，国网信通调度监控发现国网湖北电力云终端系统监控状态异常。期间，健康运行时长及在线用户数指标缺失，URL探测异常。,应用软件,操作不当等问题,检修操作不当,经查湖北省电力公司云终端系统部署在荆州公司，由于通信检修，故造成其健康时长运行中断。检修过程中确认是damping引起的问题后，迅速采用解决办法：reset bgp ip routing ipv4命令，清除被抑制的路由，监控指标恢复正常。,迅速采用解决办法：reset bgp ip routing ipv4命令，清除被抑制的路由，监控指标恢复正常,,,,0.416666666453239,24.9999999871943,,IMS监控,无,,,,,有,有,有,无,6月,13,5,,,,,,,,,,,,,,,
6,390,,,,2016-06-14 17:15:00,,2016-06-14 17:42:00,国网信通,信通调度,一级部署,信息系统运行异常,系统部分功能非计划不可用,6月14日17:15，国网信通调度监控发现IDS系统附件无法正常下载，17:42，运检中心重启非结构化应用节点,应用软件,运行维护不当,进程异常,由于业务系统访问量大，全文检索服务同步索引数据失败未能及时反馈业务数据，导致大量数据源连接池资源不能及时释，数据库连接池满。,重启非结构化数据管理平台应用节点后，系统恢复正常。,优化全文检索代码，完善全文检索同步数据异常处理机制，减少单次同步数据数据库连接次数； 增加非结构化应用节点数量，由原来的两个节点扩展至四个节点；对业务系统非结构化数据进行梳理，减少非必要的非结构化数据文件存取操作,,,0.450000000069849,27.000000004191,,IMS监控,无,,,,无,有,有,有,有,6月,14,17,,,,,,,,,,,,,,,
7,391,,,,2016-06-14 19:20:00,,2016-06-14 19:35:00,河南,综合查询,二级部署,信息系统运行异常,不影响用户使用但系统有告警,6月14日19:20-19：35，国网信通调度监控发现国网河南电力查询IAS系统监控异常。,数据库软件,运行维护不当,线程满,经查，由于营销稽查系统业务量大占用存储设备资源过多，使得IAS数据库服务器连接该存储时响应缓慢，造成IAS系统指标监控数据出现异常。存储资源释放后，指标数据恢复正常。,存储资源释放后，指标数据恢复正常。,,,,0.249999998370185,14.9999999022111,,IMS监控,无,,,,无,有,有,无,无,6月,14,19,,,,,,,,,,,,,,,
8,392,,,,2016-06-15 04:35:00,,2016-06-15 05:05:00,宁夏,凭证协同,二级部署,信息系统运行异常,系统部分功能非计划不可用,6月15日4:35-5:05，国网宁夏电力凭证协同系统监控状态异常，期间，系统URL探测中断，健康运行时长及在线用户数指标正常,操作系统和集群,运行维护不当,线程满,期间，系统URL探测中断，健康运行时长及在线人数指标正常，经查，该系统采用Windows HA进行部署，由于主节点长时间运行，产生假死现象，备节点进行资源接管，在主备切换过程中由于数据库资源未能正常释放，导致切换失败，指标中断，手动进行主备切换后，系统指标恢复正常。,,,,,0.500000001629815,30.0000000977889,,IMS监控,无,,,,无,有,有,有,无,6月,15,4,,,,,,,,,,,,,,,
9,393,,,,2016-06-15 21:10:00,,2016-06-15 23:30:00,浙江,外网网站,二级部署,信息系统运行异常,信息系统侧IMS接口非计划不可用,6月15日21:10-23:30，国网浙江电力外网网站系统监控状态异常。期间，系统健康运行时长指标中断，URL探测正常,主机,运行维护不当,内存溢出,经查故障原因为IMS系统外网探测长期处于未维护状态，导致探测程序出现内存溢出，对数据转发的发生间歇性迟滞。从I6000系统日志及记录上可以观察到在出现IMS数据丢失期间，I6000数据收发机转发皆正常。,,,,,2.33333333517658,140.000000110595,,IMS监控,无,,,,无,有,有,有,无,6月,15,21,,,,,,,,,,,,,,,
