,异常类型,异常类型细项,问题现象,故障组件,形成原因,形成原因细类,原因分析,故障处理过程
0,信息系统运行异常,系统非计划停运,8月6日19:15，国网信通调度监控发现国网东北分部电力交易系统IMS监控状态异常。期间，系统健康运行时长及在线用户数指标异常，URL探测正常。,基础环境,运行维护不当,机房停电,经查，故障原因为8月5日22时20分，因东北分部办公楼一路供电线路C向接地故障，为确保调度安全生产用电，因电力市场交易系统已申请下线，故对该系统服务器及存储设备采取关停操作。,
1,信息系统监控接口异常,信息系统侧IMS接口非计划不可用,1月1日00:05-00:15，国网天津、吉林、宁夏电力，00:05-01:40，国网湖北电力，00:05-09:20，国网北京电力，00:05-09:45，国网蒙东电力，02:10-10:10，国网浙江电力营销稽查系统监控状态异常。,主机,软件设计缺陷,代码逻辑缺陷,"IMS需要从营销稽查监控系统调取日和月的业务指标, 但该系统应用程序日期逻辑判断错误（1.303版本存在该问题）,使得相关指标无法正常提供给IMS系统",各网省更新总部紧急发布的补丁包后，指标恢复正常。
2,信息系统运行异常,系统非计划停运,5月9日21:40起，国网信通调度监控发现国网西藏电力计量资产全寿命系统健康运行时长及在线用户数指标缺失，URL探测异常。,基础环境,设备日常损坏,电源模块故障,经查，故障原因为该系统PDU电源插座损坏，且该系统为单路供电，导致停机，指标中断，更换PDU电源插座后并重启系统后指标恢复正常。,0
3,信息系统运行异常,不影响用户使用但系统有告警,8月24日16:25，国网信通调度监控发现总部人资辅助决策、物资辅助决策、营销辅助决策与综合查询IAS系统IMS健康运行时长及在线用户数指标缺失，同时数据中心ODS库报出实例无法连接告警。17:00，经国网信通公司运维人员重启数据库后，系统指标恢复正常。,应用软件,软件设计缺陷原因,数据库bug,节点2运行中触发bug导致了DWTH实例异常关闭导致了16:25故障，重启节点后smon进程在进行事务回滚时遇到索引坏块导致节点1DWTH异常重启”索引产生坏块的原因仍在核查，后续查明原因后会反馈新的故障报告。,
4,信息系统运行异常,不影响用户使用但系统有告警,8月1日22:35-23:00，国网信通调度监控发现国网北京电力PMS2.0系统I6000监控异常。期间，系统URL探测异常，健康运行时长及在线用户数指标正常。,主机,运行维护不当,内存溢出,经查，故障原因为由于PMS2.0系统应用服务器内存不足，导致节点服务无法响应， URL探测指标异常，经重启后恢复。,0
5,信息系统运行异常,信息系统侧IMS接口非计划不可用,2月13日00:05-00:20，国网河南电力财务管控系统监控状态异常。期间，系统健康运行时长指标中断，在线用户数指标及URL探测正常。,数据库软件,运行维护不当,数据库表空间满,系统执行定时任务，数据库响应缓慢，造成监控指标抽取失败,，定时任务完成后，系统指标恢复正常。
6,信息系统运行异常,不影响用户使用但系统有告警,"5月20日12:20，国网信通调度监控发现智能持续审计系统IMS健康运行时长指标缺失，URL探测正常。
",数据库软件,运行维护不当,数据表异常,数据表存在异常，应用程序访问异常数据表时，触发了mysql的bug，导致mysql数据库服务异常退出，应用无法连接数据库导致IMS指标中断。,启动mysql服务，指标恢复正常。
7,信息系统运行异常,不影响用户使用但系统有告警,"1月5日16:45，国网信通调度监控发现企业服务库ESR系统IMS健康运行时长及在线用户数指标中断，URL探测正常。已组织运检中心进行排查处置。
",数据库软件,运行维护不当,响应慢,数据库中IMS指标记录表数据量大，查询时间长，导致指标数据无法显示，且IMS接口程序包文件损坏。,运检中心重新装载ESR系统IMS接口程序包并清除部分历史IMS监控指标数据，监控指标恢复正常。
8,信息系统运行异常,不影响用户使用但系统有告警,4月26日17:55-18:10国网西藏电力财务管控系统监控状态异常。期间，系统健康运行时长与在线用户数缺失，URL探测异常。,数据库软件,软件设计缺陷,SQL语句不合理,经查，由于sql语句执行效率低，在业务繁忙时导致数据库夯住，无法响应连接请求。待语句执行完成释放资源后，数据库访问自动恢复正常。,0
9,信息系统监控接口异常,系统部分功能非计划不可用,1月4日09:45-10:10，国网中电财协同办公系统监控状态异常。期间，健康运行时长及在线用户数指标中断，URL探测正常。,数据库软件,运行维护不当,数据库端数据库连接数满,国网中电财协同办公内部会议管理模块查询数据时会通过domino库的索引来完成查询，故障期间，该模块索引损坏，协同办公系统代理在执行统计会议室时，导致数据查询任务一直重复执行，占用大量系统资源,将损坏的索引模块删除并重新创建，重启domino服务，系统恢复正常。
10,信息系统运行异常,系统部分功能非计划不可用,18日15:47，国网信通调度接网大运管中心申告，“部分用户从网大首页跳转至专业学院时报502错误”，17:51，经重启故障节点后，经调度验证正常，19日将与用户进行验证。,应用软件,软件设计缺陷,代码逻辑缺陷,网大后台程序生成网络大学系统首页和学员个人中心的静态页面时，由于静态页面文件未加锁，其他线程会将先前生成的共享静态页面文件误删除，造成白屏或Nginx报错。同时在用户访问页面失败时，未进行异常处理，直接将白屏页面反馈给用户。,在网络大学首页的静态页面中将专业学院的原动态页面访问地址替换为静态访问地址，并设置该文件权限，禁止程序自动更新替换该页面。
11,信息系统监控接口异常,信息系统侧IMS接口非计划不可用,2月1日0:05，国网北京、河北、福建、重庆、吉林电力，1:05，国网天津电力营销稽查系统监控状态异常。期间，系统健康运行时长指标异常，在线用户数及URL探测正常。2:15-3:50，除天津电力营销稽查系统外，5家网省单位系统指标恢复正常。,应用软件,软件设计缺陷,SQL语句不合理,故障原因为旧版本接口程序时间函数存在BUG,将接口程序升级至V1.303版本
12,信息系统运行异常,不影响用户使用但系统有告警,5 月27日14:39，国网信通调度接网大运管中心申告，部分用户无法正常登录网络大学管理端。15:10，运检完成异常节点重启，经与网大运管中心验证，登录恢复正常,数据库软件,软件设计缺陷,数据库,"故障报告：网络大学管理员模块共12个节点，每晚八点12个节点会同时执行相同的跑批任务，造成对数据库访问争用，导致有个别节点在执行跑批任务时失败；
2、跑批任务失败后，跑批任务线程发生异常死锁并触发HashMap多线程bug，跑批线程进入死循环该节点其他线程访问Hashmap时无法获取资源，其他需要访问Hashmap的线程只能等待执行，在用户层面表现为用户无法访问或无法登录系统",0
13,信息系统运行异常,业务应用级联贯通不可用, 2月1日11:15-11:45，国网信通调度监控发现国网北京公司外网网站系统无法访问。期间，系统IMS指标正常。,应用软件,运行维护不当,线程满,IMS系统的外网后台imsserver程序运行出现异常，使得连接数资源达到限值，无法正常与内网数据库交互，导致在收到外网网站指标数据后无法向内网数据库写入,重启IMS系统的外网Imsserver后台程序后指标恢复正常。
14,信息系统监控接口异常,不影响用户使用但系统有告警,6月22日0:05-1:05，2:55-3:35，国网信通调度监控发现国网甘肃公司外网网站监控异常。期间，系统健康运行时长指标中断，URL探测正常,网络,软件设计缺陷原因,网络bug,期间，系统健康运行时长中断，URL探测正常。经查，故障原因为外网网站IMS接口服务器在信息广域网AS号迁移改造检修期间，受网络波动的影响，造成了外网网站系统健康运行时长中断。,
15,信息系统运行异常,网络非计划停运,3月24日00:20-01:20，国网龙江电力外网网站系统监控状态异常。期间，系统健康运行时长指标中断，URL探测指标正常,安全,运行维护不当,原因不详细,经查，有安全隔离装置在运过长，设备老旧，性能低下，导致安全隔离装置内存溢出，无法正常工作，IMS系统无法通过安全隔离装置与外网网站接口文件通信，导致IMS监控数据异常。重启安全隔离装置硬件设备后，各项指标恢复正常。,重启安全隔离装置硬件设备
16,信息系统运行异常,不影响用户使用但系统有告警,8月6日0:00-3:30，国网福建电力所有系统监控间歇性异常。期间，系统URL探测间歇性异常，健康运行时长及在线用户数间歇性中断。,网络,设备日常损坏,水晶头及网线,期间，系统URL间歇性中断，健康运行时长及在线用户数间歇性中断。故障原因为：ActiveMQ消息消费服务kpiin节点10.142.6.90服务器日志正常，节点10.142.6.95服务器日志间断性异常，日志报错连不上10.142.6.172/173Oralce数据库，异常期间10.142.6.95服务器与10.142.6.172/173Oralce数据库服务器之间通信异常。通过进一步排查，为10.142.6.95服务器与跳线的水晶头与配线架槽接触不良，引起服务器的网络通信时通时断，导致指标数据入库异常,
17,信息系统监控接口异常,系统部分功能非计划不可用,5月9日8:45-9:25，国网信通调度监控发现国网长保企业门户系统在线用户数及健康运行时长指标缺失，URL探测正常。,数据库软件,运行维护不当,密码过期,"根据门户日志报错 ORA-28000: the account is locked，反映出门户应用程序数据源的数据库账号被锁定。门户项目组立即对数据库用户进行解锁。
由于2016年5月6日门户对数据库账号进行了弱口令整改，对数据库账号sso的密码进行了变更。5月9日多个连接请求门户应用的sso账号，因密码错误次数过多导致账号被锁定，门户应用因数据库账号锁定导致运行异常。
",0
18,信息系统运行异常,系统部分功能非计划不可用,5月26日2:00-6:25，国网新源公司企业门户系统监控状态异常，期间，健康运行时长及在线用户数指标中断，URL探测正常。,存储,设备日常损坏,硬盘故障,期间，健康运行时长及在线用户数指标中断，URL探测正常。经查故障原因为门户系统IMS接口服务为单节点运行，而该服务节点由于RAID卡元件老化，发生阵列信息无法识别，操作系统分区无法引导故障，导致门户接口服务不可用，指标中断。,0
19,信息系统运行异常,IMS系统数据接口非计划中断,4月25日09:30-10:00，国网信通调度监控发现国网英大证券协同办公系统监控状态异常。期间，系统URL探测指标异常，健康运行时长及在线用户数指标正常。,数据库软件,运行维护不当,检修操作不当,0,0
20,信息系统运行异常,系统部分功能非计划不可用,7月27日16:00-18:45，国网辽宁电力电能服务系统监控状态异常。期间，系统健康运行时长及在线用户数指标中断，URL探测正常。,数据库软件,运行维护不当,数据库表空间满,经查，是由于系统的Oracle数据库归档日志空间不足，电能服务管理平台后台服务无法连接到数据库，接口无法使用，造成指标中断。删除过期归档日志并重启系统服务后，指标恢复正常。,删除过期归档日志并重启系统服务后，指标恢复正常。
21,信息系统监控接口异常,信息系统监控指标短时中断,1月8日18:40-21:15，国网黑龙江电力数据交换平台系统监控状态异常。期间，健康运行时长及在线用户数指标中断，URL探测正常。,主机,运行维护不当,存储空间满,故障原因为IMS接口服务器磁盘空间不足,通过删除冗余日志，并重启接口程序后，监控状态恢复正常。
22,信息系统监控接口异常,IMS系统数据接口非计划中断,1月31日14:45-17:10，国网天津电力应急指挥系统监控状态异常。期间，系统健康运行时长及在线用户数指标中断，15:05系统URL探测中断。,应用软件,运行维护不当,原因不详细,经重启相关应用主服务及IMS接口服务,故障原因为应用服务器所在虚拟机由于进程异常，导致节点无法正常提供服务，IMS监控指标异常
23,信息系统监控接口异常,信息系统监控指标短时中断,1月6日08:35-9:05，国网蒙东电力查询IAS系统、数据管理服务平台监控状态异常。期间，健康运行时长及在线用户数指标中断，URL探测正常。,数据库软件,运行维护不当,数据库表空间满,故障原因为数据库归档日志满,运维人员删除归档日志后，监控指标恢复正常。
24,信息系统运行异常,不影响用户使用但系统有告警,6月19日8:40，国网信通调度接到95598项目组申告，用户反馈95598业务支持系统运行缓慢。经查，初步原因为数据库中存在死锁，解除死锁并重启相关应用服务后，13:00，经验证系统恢复正常，派单业务已迁回线上。,数据库软件,运行维护不当,数据库死锁,数据库内一个归档定时任务异常导致数据库出现GC Buffer的热块争用，数据库产生大量死锁。,运检中心从操作系统层清除定时任务进程，系统恢复正常。
25,信息系统运行异常,不影响用户使用但系统有告警,4月8日04:05-7:35，国网辽宁电力营销辅助系统监控状态异常。期间，系统健康运行时长和在线用户数指标中断，URL探测正常。,主机,软件设计缺陷,操作系统,"经查，原因为HP操作系统bug导致数Oracle crsd.bin在调用racgmain脚本并使用新的uuid创建进程失败变成僵尸进程，根据crsd.bin工作原理，失败了会再产生新的进程,导致进程数达到操作系统上线，通过HP-RX8640小机的MP卡进行TOC（强制系统dump并重启），操作系统服务启动完毕，启动集群软件，数据库恢复正常。",通过HP-RX8640小机的MP卡进行TOC（强制系统dump并重启）
26,信息系统运行异常,网络非计划停运,4月8日16:00起国网西藏电力外网网站系统监控状态异常。期间，外网网站系统无法访问,网络,运行维护不当,运营商网络问题," 经核实，根据《国网信通部要求转发公安部等部委文件〈党政机关、事业单位和国有企业互联网网站安全专项整治行动方案〉的通知》要求西藏电力公司进行DNS备案工作，目前西藏电力信通公司正在与西藏通信管理局协调开展续备工作，待此工作完成后，总部信通访问西藏外网网站将恢复正常。
期间，外网网站系统无法访问。经核实，根据《国网信通部要求转发公安部等部委文件〈党政机关、事业单位和国有企业互联网网站安全专项整治行动方案〉的通知》要求西藏电力公司进行DNS备案工作，网站已恢复。",0
27,信息系统运行异常,系统部分功能非计划不可用,7月9日21:00-22:20，国网中电装备协同办公系统监控状态异常。期间，系统健康运行时长及在线人数指标异常，URL探测正常。,基础环境,基础环境,空调故障,经查，由于自建机房的空调维修人员误操作导致部署统一用户服务和IMS报送服务的服务器关机，影响了系统指标，启动服务器及相关服务后，指标恢复。,0
28,信息系统运行异常,不影响用户使用但系统有告警,7月5日11:30，国网信通调度监控发现财务辅助决策系统IMS健康运行时长及在线用户数指标中断，URL探测异常。12:10，经调控中心重启所有应用节点后，系统恢复正常。,主机,运行维护不当,内存溢出,操作系统版本与JDK版本不一致，应用节点可分配内存不足导致内存溢出。,调控中心重启所有应用节点后，系统恢复正常。
29,信息系统运行异常,信息系统侧IMS接口非计划不可用,2月26日10:35-11:35，国网山西电力营销分析与辅助决策系统监控状态异常。,主机,运行维护不当,线程满,故障原因为每月26日为当月业扩报表数据抽取日，系统使用人数较多，造成其中一台服务响应速度缓慢,重启服务器后，监控状态恢复正常
30,信息系统运行异常,不影响用户使用但系统有告警,1月8日09:27，国网信通调度接用户申告，重庆、蒙东用户访问协同办公时系统运行缓慢,主机,软件设计缺陷,操作系统,承载总部Solr分区集群的两台宿主机同时发生故障，宿主机1因内存条硬件故障假死，宿主机2因操作系统BUG造成网络无法正常连接。总部Solr分区集群状态异常。,重启宿主机1，系统恢复正常。
31,信息系统运行异常,网络非计划停运,3月20日15:55-16:20，3月21日07:05-07:45，国网西藏电力TMS系统监控状态异常。期间，系统在线用户数指标中断，健康运行时长指标及URL探测状态正常,网络,设备日常损坏,通信板卡,"期间，系统健康运行时长及在线用户数指标中断，URL探测异常。经查，计量资产系统网络交换机光模块出现故障网络不通，导致指标异常，更换光模块后，系统恢复正常运行，故障排除。
",更换光模块
32,信息系统运行异常,系统部分功能非计划不可用,"5月3日14:05，国网信通调度监控发现内网邮件系统无法访问，客户端无法正常收发邮件。
",数据库软件,运行维护不当,检修操作不当,进行ASM磁盘扩容二级检修时，手工执行start_udev命令，导致依赖于udev的网络绑定服务异常，致使1节点网络出错，网络出错后，VIP服务自动停止，scan listener则漂向2节点。2节点因为随即也执行了start_udev命令，致使2节点的网络也发生故障，2节点VIP服务停止，此时scan listener无法再漂向1节点，导致整个数据库无法创建新的服务连接。,0
